id,perusahaan,nama_mobil,transmisi,odo,tahun,harga
504,Bmw,318I,Automatic,140000,2003,98000000
1455,Bmw,318I,Automatic,135000,2003,93000000
1458,Bmw,318I,Automatic,190000,2003,95000000
1528,Bmw,318I,Automatic,175000,2000,72000000
410,Bmw,320I,Automatic,30000,2018,495000000
437,Bmw,320I,Automatic,55000,2016,470000000
512,Bmw,320I,Automatic,20000,2016,440000000
697,Bmw,320I,Automatic,45000,2015,368000000
457,Bmw,320I,Automatic,75000,2014,305000000
545,Bmw,320I,Automatic,95000,2014,355000000
1883,Bmw,320I,Automatic,115000,2014,323000000
513,Bmw,320I,Automatic,90000,2013,329000000
735,Bmw,320I,Automatic,30000,2013,315000000
505,Bmw,320I,Automatic,65000,2012,220000000
1113,Bmw,320I,Automatic,75000,2011,195000000
1431,Bmw,320I,Automatic,105000,2008,139000000
19,Bmw,320I,Automatic,125000,2006,120000000
256,Bmw,520I,Automatic,120000,2012,320000000
943,Chevrolet,Captiva,Automatic,105000,2013,158000000
255,Chevrolet,Captiva,Automatic,165000,2011,134000000
792,Chevrolet,Captiva,Automatic,100000,2011,135000000
497,Chevrolet,Captiva,Automatic,140000,2010,118000000
1759,Chevrolet,Others,Automatic,105000,2005,47000000
1449,Chevrolet,Spin,Manual,85000,2014,89000000
1661,Chevrolet,Spin,Manual,120000,2014,95500000
1384,Chevrolet,Spin,Automatic,70000,2013,107000000
1434,Chevrolet,Spin,Automatic,100000,2013,113000000
1642,Chevrolet,Spin,Automatic,145000,2013,99000000
1913,Chevrolet,Trax,Automatic,60000,2019,225000000
324,Chevrolet,Trax,Automatic,45000,2018,219000000
566,Chevrolet,Trax,Automatic,45000,2018,205000000
873,Chevrolet,Trax,Automatic,70000,2017,187000000
972,Chevrolet,Trax,Automatic,65000,2017,193000000
34,Chevrolet,Trax,Automatic,120000,2016,177000000
592,Chevrolet,Trax,Automatic,55000,2016,175000000
828,Chevrolet,Trax,Automatic,80000,2016,168000000
829,Chevrolet,Trax,Automatic,80000,2016,168000000
896,Chevrolet,Trax,Automatic,80000,2016,159000000
1097,Chevrolet,Trax,Automatic,95000,2016,179000000
569,Daihatsu,Ayla,Manual,10000,2021,123000000
1234,Daihatsu,Ayla,Manual,35000,2021,126000000
1241,Daihatsu,Ayla,Manual,35000,2021,126000000
1311,Daihatsu,Ayla,Automatic,35000,2021,139000000
1351,Daihatsu,Ayla,Manual,15000,2021,115000000
1403,Daihatsu,Ayla,Automatic,15000,2021,133000000
642,Daihatsu,Ayla,Manual,20000,2020,126000000
1246,Daihatsu,Ayla,Manual,5000,2020,116000000
1971,Daihatsu,Ayla,Manual,20000,2020,113000000
